Player,salary,Season,Position,Age,Team,Games Played,Games Started,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Pointers Made,Three Pointers Attempted,Three Pointers Percentage,Two Pointers Made,Two Pointers Attempted,Two Pointers Percentage,Effective Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points Scored
Feron Hunt,116987,2022,SF,22,NYK,2,0.0,8.0,0,2,0.0,0.0,0.0,,0,2,0.0,0.0,0,0,,1.0,0.0,1.0,1,1.0,0.0,1.0,1,0
Mac McClung,111670,2022,SG-PG,23,TOT,2,0.0,25.0,3,6,0.5,1.0,3.0,0.333,2,3,0.667,0.583,1,1,1.0,0.0,3.0,3.0,1,1.0,1.0,3.0,5,8
Matt Ryan,111669,2022,SF,24,BOS,1,0.0,5.0,1,5,0.2,1.0,5.0,0.2,0,0,,0.3,0,0,,0.0,0.0,0.0,0,1.0,0.0,0.0,0,3
Emmanuel Mudiay,111457,2022,PG,25,SAC,2,0.0,11.0,0,2,0.0,0.0,0.0,,0,2,0.0,0.0,3,4,0.75,0.0,0.0,0.0,4,1.0,0.0,1.0,1,3
Carlik Jones,106352,2022,PG,24,TOT,5,0.0,23.0,1,9,0.111,0.0,1.0,0.0,1,8,0.125,0.111,2,2,1.0,1.0,2.0,3.0,5,1.0,0.0,3.0,0,4
Hassani Gravett,106352,2022,PG,25,ORL,8,3.0,171.0,18,38,0.474,11.0,26.0,0.423,7,12,0.583,0.618,3,4,0.75,1.0,20.0,21.0,20,5.0,1.0,9.0,13,50
Paris Bass,106352,2022,SF,26,PHO,2,0.0,7.0,2,6,0.333,0.0,2.0,0.0,2,4,0.5,0.333,2,2,1.0,2.0,2.0,4.0,0,1.0,0.0,2.0,2,6
Jordan Bell,102831,2022,C,27,CHI,1,0.0,2.0,0,0,,0.0,0.0,,0,0,,,0,0,,1.0,0.0,1.0,0,1.0,0.0,0.0,2,0
Cheick Diallo,102831,2022,C,25,DET,3,0.0,31.0,3,8,0.375,0.0,0.0,,3,8,0.375,0.375,5,6,0.833,4.0,8.0,12.0,0,1.0,0.0,1.0,6,11
Nate Hinton,96213,2022,SG,22,IND,2,0.0,2.0,0,1,0.0,0.0,0.0,,0,1,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0
Derrick Walton,95930,2022,PG,26,DET,3,3.0,108.0,6,26,0.231,3.0,13.0,0.231,3,13,0.231,0.288,4,4,1.0,2.0,8.0,10.0,21,7.0,4.0,11.0,8,19
DaQuan Jeffries,95930,2022,SG,24,MEM,3,0.0,9.0,1,2,0.5,0.0,1.0,0.0,1,1,1.0,0.5,0,0,,0.0,2.0,2.0,1,0.0,0.0,0.0,1,2
Scotty Hopson,95930,2022,SG,32,OKC,1,0.0,18.0,2,4,0.5,0.0,1.0,0.0,2,3,0.667,0.5,0,0,,0.0,1.0,1.0,1,0.0,0.0,2.0,1,4
Jaylen Morris,95930,2022,SG,26,SAS,3,0.0,16.0,0,6,0.0,0.0,2.0,0.0,0,4,0.0,0.0,2,4,0.5,0.0,2.0,2.0,2,0.0,0.0,1.0,2,2
Cameron Oliver,85578,2022,SF,25,ATL,2,0.0,43.0,10,15,0.667,1.0,3.0,0.333,9,12,0.75,0.7,2,3,0.667,2.0,4.0,6.0,3,1.0,1.0,0.0,5,23
Malik Newman,85578,2022,PG,24,CLE,1,0.0,8.0,3,5,0.6,0.0,1.0,0.0,3,4,0.75,0.6,2,2,1.0,0.0,1.0,1.0,1,0.0,0.0,1.0,0,8
George King,85578,2022,SF,28,DAL,4,0.0,19.0,0,5,0.0,0.0,4.0,0.0,0,1,0.0,0.0,1,2,0.5,0.0,5.0,5.0,0,0.0,0.0,1.0,4,1
Jemerrio Jones,85578,2022,SF,26,LAL,2,0.0,15.0,2,3,0.667,0.0,0.0,,2,3,0.667,0.667,0,0,,2.0,1.0,3.0,0,1.0,0.0,0.0,2,4
Emanuel Terry,85578,2022,PF,25,PHO,3,0.0,18.0,0,5,0.0,0.0,0.0,,0,5,0.0,0.0,0,0,,8.0,7.0,15.0,2,1.0,0.0,5.0,4,0
Jared Harper,85081,2022,PG,24,NOP,5,0.0,43.0,14,26,0.538,5.0,12.0,0.417,9,14,0.643,0.635,4,4,1.0,2.0,0.0,2.0,14,4.0,1.0,2.0,5,37
Gabriel Lundberg,79764,2022,SG,27,PHO,4,0.0,44.0,5,19,0.263,3.0,8.0,0.375,2,11,0.182,0.342,0,0,,2.0,5.0,7.0,11,3.0,0.0,3.0,7,13
Tre Scott,53176,2022,SF,25,CLE,2,0.0,11.0,3,6,0.5,0.0,1.0,0.0,3,5,0.6,0.5,0,0,,1.0,1.0,2.0,0,1.0,1.0,0.0,2,6
Trayvon Palmer,53176,2022,SG,27,DET,1,0.0,17.0,0,1,0.0,0.0,0.0,,0,1,0.0,0.0,0,0,,0.0,2.0,2.0,0,0.0,0.0,1.0,2,0
Micah Potter,53176,2022,C,23,DET,3,0.0,31.0,5,11,0.455,0.0,2.0,0.0,5,9,0.556,0.455,2,2,1.0,4.0,5.0,9.0,0,1.0,1.0,1.0,4,12
Jaysean Paige,53176,2022,PG,27,DET,1,0.0,7.0,0,3,0.0,0.0,2.0,0.0,0,1,0.0,0.0,0,0,,0.0,1.0,1.0,1,0.0,0.0,1.0,2,0
Ahmad Caver,53176,2022,SG,25,IND,1,0.0,1.0,1,1,1.0,0.0,0.0,,1,1,1.0,1.0,0,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2
Shaq Buchanan,53176,2022,SG,25,MEM,2,0.0,10.0,1,4,0.25,0.0,2.0,0.0,1,2,0.5,0.25,0,0,,1.0,1.0,2.0,2,1.0,0.0,2.0,1,2
Jon Teske,53176,2022,C,24,MEM,3,0.0,8.0,0,1,0.0,0.0,0.0,,0,1,0.0,0.0,0,2,0.0,0.0,2.0,2.0,1,1.0,0.0,0.0,1,0
Javin DeLaurier,53176,2022,C,23,MIL,1,0.0,3.0,0,0,,0.0,0.0,,0,0,,,0,0,,0.0,1.0,1.0,0,1.0,0.0,0.0,1,0
Tyler Hall,53176,2022,SG,24,NYK,1,0.0,2.0,0,0,,0.0,0.0,,0,0,,,0,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
Rob Edwards,53176,2022,SG,25,OKC,2,0.0,11.0,1,4,0.25,1.0,4.0,0.25,0,0,,0.375,0,0,,0.0,3.0,3.0,0,0.0,0.0,1.0,0,3
Aleem Ford,53176,2022,SF,24,ORL,5,0.0,74.0,6,20,0.3,2.0,15.0,0.133,4,5,0.8,0.35,0,0,,2.0,13.0,15.0,2,1.0,0.0,4.0,7,14
Cameron McGriff,53176,2022,SF,24,POR,3,0.0,46.0,5,14,0.357,2.0,6.0,0.333,3,8,0.375,0.429,2,2,1.0,6.0,9.0,15.0,3,0.0,1.0,0.0,7,14
Jarron Cumberland,53176,2022,SG,24,POR,3,0.0,12.0,1,2,0.5,0.0,1.0,0.0,1,1,1.0,0.5,0,0,,1.0,2.0,3.0,1,0.0,0.0,0.0,2,2
Ade Murkey,53176,2022,SG,24,SAC,1,0.0,1.0,0,0,,0.0,0.0,,0,0,,,0,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
Jordan Schakel,53176,2022,SG,23,WAS,4,0.0,30.0,1,11,0.091,1.0,6.0,0.167,0,5,0.0,0.136,2,2,1.0,2.0,6.0,8.0,0,1.0,0.0,1.0,0,5
Jordan Goodwin,53176,2022,SG,23,WAS,2,0.0,6.0,0,3,0.0,0.0,1.0,0.0,0,2,0.0,0.0,0,0,,0.0,1.0,1.0,0,0.0,0.0,0.0,1,0
Craig Sword,53176,2022,SG,28,WAS,3,0.0,19.0,3,4,0.75,0.0,1.0,0.0,3,3,1.0,0.75,0,0,,0.0,0.0,0.0,1,4.0,0.0,1.0,7,6
Jaime Echenique,53176,2022,C,24,WAS,1,0.0,3.0,0,0,,0.0,0.0,,0,0,,,0,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
Zavier Simpson,37223,2022,PG,24,OKC,4,4.0,174.0,19,52,0.365,1.0,8.0,0.125,18,44,0.409,0.375,5,5,1.0,2.0,19.0,21.0,30,5.0,4.0,10.0,15,44
Melvin Frazier,13294,2022,SG,25,OKC,3,0.0,120.0,13,48,0.271,1.0,21.0,0.048,12,27,0.444,0.281,5,7,0.714,5.0,8.0,13.0,1,1.0,0.0,3.0,8,32
